"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 14, 2016","159.63","161.08","164.03","158.09","-","-0.46%"
"Feb 07, 2016","160.36","161.22","162.11","154.89","-","-0.97%"
"Jan 31, 2016","161.93","164.35","166.46","159.60","-","-2.89%"
"Jan 24, 2016","166.75","162.51","167.94","160.04","-","1.80%"
"Jan 17, 2016","163.80","162.06","163.98","154.85","-","2.42%"
"Jan 10, 2016","159.93","167.23","167.90","159.49","-","-5.13%"
"Jan 03, 2016","168.58","174.08","174.97","167.26","-","-4.29%"
"Dec 27, 2015","176.14","174.39","177.65","174.20","-","0.03%"
"Dec 20, 2015","176.09","171.34","176.40","171.01","-","2.28%"
"Dec 13, 2015","172.16","172.59","175.69","170.06","-","-1.54%"
"Dec 06, 2015","174.86","182.08","182.27","174.66","-","-4.57%"
"Nov 29, 2015","183.24","183.68","184.80","180.72","-","0.00%"
"Nov 22, 2015","183.24","183.42","186.34","182.00","-","-0.27%"
"Nov 15, 2015","183.73","185.81","186.20","182.56","-","-0.56%"
"Nov 08, 2015","184.77","191.89","192.10","184.21","-","-3.28%"
"Nov 01, 2015","191.03","193.99","198.32","190.32","-","-2.34%"
"Oct 25, 2015","195.61","193.78","196.17","190.89","-","0.98%"
"Oct 18, 2015","193.71","198.26","198.32","193.23","-","-2.88%"
"Oct 11, 2015","199.45","203.46","203.62","197.44","-","-1.60%"
"Oct 04, 2015","202.69","195.01","203.71","194.81","-","4.42%"
"Sep 27, 2015","194.11","194.29","196.49","191.43","-","-0.82%"
"Sep 20, 2015","195.71","195.38","196.85","191.17","-","0.79%"
"Sep 13, 2015","194.18","196.87","199.66","193.75","-","-1.29%"
"Sep 06, 2015","196.72","196.67","198.78","194.81","-","0.01%"
"Aug 30, 2015","196.70","195.25","202.13","192.68","-","-0.20%"
"Aug 23, 2015","197.10","187.43","198.16","185.13","-","3.01%"
"Aug 16, 2015","191.34","197.10","197.68","190.42","-","-3.35%"
"Aug 09, 2015","197.97","198.95","202.45","197.38","-","-0.18%"
"Aug 02, 2015","198.32","201.17","202.00","197.84","-","-2.10%"
"Jul 26, 2015","202.57","203.69","206.58","202.30","-","-1.20%"
"Jul 19, 2015","205.04","213.26","213.51","204.77","-","-4.43%"
"Jul 12, 2015","214.54","218.01","219.90","213.63","-","-1.70%"
"Jul 05, 2015","218.25","219.24","220.21","213.11","-","-2.81%"
"Jun 28, 2015","224.55","223.12","227.47","223.08","-","-0.15%"
"Jun 21, 2015","224.88","222.34","225.56","221.10","-","1.24%"
"Jun 14, 2015","222.13","222.28","225.74","221.10","-","-0.63%"
"Jun 07, 2015","223.53","222.48","229.33","222.25","-","0.45%"
"May 31, 2015","222.53","222.36","225.88","219.33","-","-0.29%"
"May 24, 2015","223.18","224.75","224.75","218.92","-","-1.06%"
"May 17, 2015","225.56","231.84","232.23","225.46","-","-2.55%"
"May 10, 2015","231.46","228.48","232.35","227.76","-","1.00%"
"May 03, 2015","229.16","228.26","233.53","226.35","-","0.53%"
"Apr 26, 2015","227.95","223.56","229.65","223.09","-","1.74%"
"Apr 19, 2015","224.05","222.26","224.76","220.39","-","0.05%"
"Apr 12, 2015","223.94","217.56","226.39","216.69","-","3.14%"
"Apr 05, 2015","217.12","218.29","221.85","215.75","-","0.48%"
"Mar 29, 2015","216.09","213.99","216.87","211.75","-","0.43%"
"Mar 22, 2015","215.16","213.32","220.35","212.83","-","0.49%"
"Mar 15, 2015","214.11","210.39","214.70","206.81","-","1.62%"
"Mar 08, 2015","210.70","220.01","220.57","210.55","-","-4.53%"
"Mar 01, 2015","220.69","222.45","224.53","219.50","-","-1.51%"
"Feb 22, 2015","224.08","222.95","224.21","220.54","-","-0.30%"
"Feb 15, 2015","224.76","229.17","229.55","223.29","-","-1.93%"
"Feb 08, 2015","229.19","226.70","229.57","221.15","-","1.93%"
"Feb 01, 2015","224.85","220.63","229.09","218.26","-","2.75%"
"Jan 25, 2015","218.84","215.29","218.86","211.27","-","1.03%"
"Jan 18, 2015","216.61","221.41","222.74","216.28","-","-3.40%"
"Jan 11, 2015","224.24","223.58","228.50","218.24","-","-0.59%"
"Jan 04, 2015","225.57","227.66","228.02","223.86","-","-1.24%"
"Dec 28, 2014","228.41","235.71","236.21","228.16","-","-2.66%"
"Dec 21, 2014","234.65","239.23","239.53","234.29","-","-2.35%"
"Dec 14, 2014","240.29","245.22","245.22","237.07","-","-1.42%"
"Dec 07, 2014","243.75","250.58","251.22","243.34","-","-3.40%"
"Nov 30, 2014","252.33","253.08","258.90","251.33","-","-0.80%"
"Nov 23, 2014","254.37","267.55","269.21","254.07","-","-5.48%"
"Nov 16, 2014","269.11","265.98","270.21","264.92","-","0.87%"
"Nov 09, 2014","266.79","271.96","272.25","264.33","-","-1.43%"
"Nov 02, 2014","270.66","273.00","273.04","266.25","-","-0.48%"
"Oct 26, 2014","271.96","268.82","275.41","267.78","-","0.64%"
"Oct 19, 2014","270.22","271.40","274.09","269.88","-","-0.89%"
"Oct 12, 2014","272.64","274.69","276.91","269.62","-","-1.07%"
"Oct 05, 2014","275.60","278.74","280.91","274.42","-","-0.27%"
"Sep 28, 2014","276.34","280.63","283.23","275.36","-","-1.41%"
"Sep 21, 2014","280.28","278.38","280.81","276.65","-","0.31%"
"Sep 14, 2014","279.40","280.68","284.68","278.98","-","-0.89%"
"Sep 07, 2014","281.90","287.15","287.22","281.06","-","-2.12%"
"Aug 31, 2014","288.02","291.73","291.86","287.13","-","-1.62%"
"Aug 24, 2014","292.75","289.08","292.76","288.16","-","1.41%"
"Aug 17, 2014","288.67","289.00","289.42","286.78","-","-0.43%"
"Aug 10, 2014","289.93","292.93","294.06","288.51","-","-0.85%"
"Aug 03, 2014","292.43","293.51","294.44","291.93","-","-0.02%"
"Jul 27, 2014","292.48","298.19","298.73","292.36","-","-1.96%"
"Jul 20, 2014","298.34","296.58","300.38","296.56","-","0.31%"
"Jul 13, 2014","297.42","296.56","298.54","294.61","-","0.12%"
"Jul 06, 2014","297.07","305.61","305.65","296.45","-","-3.15%"
"Jun 29, 2014","306.74","309.83","310.12","306.04","-","-1.31%"
"Jun 22, 2014","310.82","313.38","313.43","310.46","-","-0.67%"
"Jun 15, 2014","312.93","310.89","312.97","308.68","-","0.95%"
"Jun 08, 2014","309.98","305.45","310.41","304.98","-","1.55%"
"Jun 01, 2014","305.25","305.94","306.07","303.04","-","-0.08%"
"May 25, 2014","305.48","307.07","307.88","305.26","-","-0.90%"
"May 18, 2014","308.26","306.92","309.12","306.35","-","0.76%"
"May 11, 2014","305.92","305.39","308.11","305.04","-","0.44%"
"May 04, 2014","304.57","307.47","308.10","304.30","-","-0.84%"
"Apr 27, 2014","307.14","311.01","311.98","306.79","-","-1.14%"
"Apr 20, 2014","310.69","310.92","312.68","310.09","-","-0.25%"
"Apr 13, 2014","311.46","309.71","311.52","309.04","-","0.67%"
"Apr 06, 2014","309.39","304.77","310.44","303.50","-","1.49%"
"Mar 30, 2014","304.84","304.29","304.89","300.50","-","-0.12%"
"Mar 23, 2014","305.21","299.85","305.56","299.25","-","1.94%"
"Mar 16, 2014","299.40","302.07","302.95","299.22","-","-1.15%"
"Mar 09, 2014","302.88","305.58","306.96","301.59","-","-1.40%"
"Mar 02, 2014","307.19","305.93","308.72","303.95","-","1.57%"
"Feb 23, 2014","302.43","302.89","304.02","300.22","-","0.28%"
"Feb 16, 2014","301.58","295.71","301.96","295.45","-","2.84%"
"Feb 09, 2014","293.24","288.97","293.50","288.55","-","1.20%"
"Feb 02, 2014","289.77","283.41","289.85","283.25","-","2.28%"
"Jan 26, 2014","283.31","282.68","285.02","279.39","-","0.27%"
"Jan 19, 2014","282.54","278.49","282.77","278.07","-","1.48%"
"Jan 12, 2014","278.41","275.05","279.22","274.92","-","1.09%"
"Jan 05, 2014","275.42","277.38","278.17","272.04","-","-0.40%"
"Dec 29, 2013","276.53","282.57","283.74","276.47","-","-2.69%"
"Dec 22, 2013","284.16","283.01","284.68","281.96","-","0.37%"
"Dec 15, 2013","283.12","279.51","283.25","279.37","-","1.23%"
"Dec 08, 2013","279.67","279.03","281.77","278.69","-","0.36%"
"Dec 01, 2013","278.66","274.43","279.25","274.21","-","1.38%"
"Nov 24, 2013","274.88","273.90","275.95","273.04","-","-0.12%"
"Nov 17, 2013","275.21","273.78","276.27","272.36","-","0.32%"
"Nov 10, 2013","274.34","274.46","275.44","272.73","-","-0.02%"
"Nov 03, 2013","274.39","274.19","274.82","272.49","-","-0.21%"
"Oct 27, 2013","274.96","281.82","282.31","274.94","-","-2.69%"
"Oct 20, 2013","282.56","286.59","286.62","280.27","-","-1.52%"
"Oct 13, 2013","286.92","286.61","288.52","285.82","-","0.11%"
"Oct 06, 2013","286.61","285.69","288.71","285.01","-","0.06%"
"Sep 29, 2013","286.45","285.80","286.94","282.99","-","-0.18%"
"Sep 22, 2013","286.98","286.87","287.71","284.56","-","-0.16%"
"Sep 15, 2013","287.44","289.55","291.82","286.25","-","-1.23%"
"Sep 08, 2013","291.02","292.77","293.67","289.34","-","-0.79%"
"Sep 01, 2013","293.34","292.21","293.68","289.63","-","0.75%"
"Aug 25, 2013","291.16","291.06","296.46","290.73","-","0.13%"
"Aug 18, 2013","290.79","292.21","294.04","288.06","-","-0.58%"
"Aug 11, 2013","292.49","285.53","292.93","285.48","-","2.49%"
"Aug 04, 2013","285.38","282.82","285.58","280.64","-","0.57%"
"Jul 28, 2013","283.77","284.65","286.22","280.84","-","-0.24%"
"Jul 21, 2013","284.46","291.37","292.00","284.23","-","-2.22%"
"Jul 14, 2013","290.92","285.80","291.88","285.39","-","1.49%"
"Jul 07, 2013","286.66","281.01","287.40","280.63","-","2.12%"
"Jun 30, 2013","280.72","276.76","282.46","276.67","-","1.85%"
"Jun 23, 2013","275.62","277.81","279.06","275.54","-","-0.88%"
"Jun 16, 2013","278.08","286.40","288.25","277.67","-","-2.83%"
"Jun 09, 2013","286.18","286.98","287.24","283.63","-","-0.52%"
"Jun 02, 2013","287.67","283.25","288.10","283.01","-","2.06%"
"May 26, 2013","281.85","286.12","286.86","281.79","-","-1.07%"
"May 19, 2013","284.89","287.31","289.04","284.10","-","-0.94%"
"May 12, 2013","287.60","288.22","289.62","285.19","-","-0.37%"
"May 05, 2013","288.68","290.23","291.45","286.85","-","-0.51%"
"Apr 28, 2013","290.17","286.34","290.83","283.11","-","1.67%"
"Apr 21, 2013","285.40","283.75","287.34","280.95","-","0.78%"
"Apr 14, 2013","283.19","283.62","283.95","280.17","-","-1.40%"
"Apr 07, 2013","287.21","289.73","291.53","286.40","-","-0.37%"
"Mar 31, 2013","288.28","295.60","295.79","287.19","-","-2.74%"
"Mar 24, 2013","296.39","295.12","298.71","294.19","-","0.58%"
"Mar 17, 2013","294.69","294.43","295.35","292.88","-","-0.59%"
"Mar 10, 2013","296.44","294.09","297.99","293.36","-","0.70%"
"Mar 03, 2013","294.38","290.43","294.40","289.20","-","1.38%"
"Feb 24, 2013","290.36","295.65","295.74","289.80","-","-1.08%"
"Feb 17, 2013","293.52","298.58","298.95","292.99","-","-1.65%"
"Feb 10, 2013","298.45","300.32","301.24","297.60","-","-0.87%"
"Feb 03, 2013","301.06","303.90","304.50","300.80","-","-1.31%"
