Date,CloseIBOV,CloseDJI,Price,ICB,CarWash
2011-09-12,55685.0,11061.120117,1.7037,21727.54455723553,0
2011-09-13,55544.0,11105.849609,1.71,21710.29240659011,0
2011-09-14,56286.0,11246.730469,1.714,21487.384507546078,0
2011-09-15,56381.0,11433.179688,1.705,21266.65857461876,0
2011-09-16,57210.0,11509.089844,1.7327,21248.830386808328,0
2011-09-19,57103.0,11401.009766,1.7997,21716.45519619213,0
2011-09-20,56379.0,11408.660156,1.7856,21757.212858045532,0
2011-09-21,55982.0,11124.839844,1.8838,21864.516479509108,0
2011-09-22,53280.0,10733.830078,1.9033,21547.35025818387,0
2011-09-23,53230.0,10771.480469,1.8333,21179.427143212117,0
2011-09-26,53748.0,11043.860352,1.8225,21429.239261681334,0
2011-09-27,53920.0,11190.69043,1.8042,21347.486152866863,0
2011-09-28,53270.0,11010.900391,1.8372,21207.733835758594,0
2011-09-29,53385.0,11153.980469,1.8425,21201.983544435876,0
2011-09-30,52324.0,10913.379883,1.879,21215.225111409807,0
2011-10-03,50792.0,10655.299805,1.893,21004.857600775333,0
2011-10-04,50686.0,10808.709961,1.8575,21299.898447168638,0
2011-10-05,51014.0,10939.950195,1.8317,21147.73173331983,0
2011-10-06,52290.0,11123.330078,1.7805,21154.989520387928,0
2011-10-07,51244.0,11103.120117,1.7717,20865.449036228343,0
2011-10-10,53273.0,11433.179688,1.7624,20862.615113367203,0
2011-10-11,53838.0,11416.299805,1.775,20882.069953782393,0
2011-10-13,54601.0,11478.129883,1.7508,21198.728309078637,0
2011-10-14,55030.0,11644.490234,1.7319,21113.48894529211,0
2011-10-17,53911.0,11397.0,1.7736,21105.07249813959,0
2011-10-18,55032.0,11577.049805,1.7524,20981.715345252313,0
2011-10-19,54966.0,11504.620117,1.7731,21209.86945951547,0
2011-10-20,54010.0,11541.780273,1.7812,21235.62770204382,0
2011-10-21,55255.0,11808.790039,1.7748,21596.653973446148,0
2011-10-24,56892.0,11913.620117,1.7508,21742.229283207784,0
2011-10-25,56286.0,11706.620117,1.766,21541.233331934596,0
2011-10-26,57144.0,11869.040039,1.7584,21544.85339963575,0
2011-10-27,59270.0,12208.549805,1.7095,21283.074836114156,0
2011-10-28,59513.0,12231.110352,1.6725,21181.52139812245,0
2011-10-31,58338.0,11955.009766,1.7172,21099.036879896248,0
2011-11-01,57323.0,11657.959961,1.745,21322.289016427378,0
2011-11-03,58196.0,12044.469727,1.7367,21532.534290105054,0
2011-11-04,58670.0,11983.240234,1.7525,21608.387489652883,0
2011-11-07,59199.0,12068.389648,1.7464,21802.086286619196,0
2011-11-08,59026.0,12170.179688,1.7323,21675.924844943354,0
2011-11-09,57550.0,11780.94043,1.7795,21632.31193443164,0
