"Date","Price","Open","High","Low","Change %"
"Jan 05, 2012","1.8437","1.8311","1.8489","1.8300","0.62%"
"Jan 04, 2012","1.8323","1.8299","1.8364","1.8195","0.10%"
"Jan 03, 2012","1.8304","1.8725","1.8728","1.8286","-2.16%"
"Jan 02, 2012","1.8708","1.8657","1.8746","1.8542","0.41%"
"Dec 30, 2011","1.8632","1.8657","1.8662","1.8632","-0.13%"
"Dec 29, 2011","1.8657","1.8740","1.8879","1.8642","-0.44%"
"Dec 28, 2011","1.8740","1.8590","1.8880","1.8553","0.68%"
"Dec 27, 2011","1.8613","1.8556","1.8638","1.8533","0.30%"
"Dec 26, 2011","1.8558","1.8575","1.8612","1.8512","-0.05%"
"Dec 23, 2011","1.8567","1.8552","1.8628","1.8468","0.03%"
"Dec 22, 2011","1.8562","1.8602","1.8650","1.8490","-0.24%"
"Dec 21, 2011","1.8607","1.8450","1.8625","1.8406","0.85%"
"Dec 20, 2011","1.8450","1.8681","1.8681","1.8368","-1.27%"
"Dec 19, 2011","1.8687","1.8509","1.8718","1.8509","0.90%"
"Dec 16, 2011","1.8520","1.8599","1.8639","1.8400","-0.44%"
"Dec 15, 2011","1.8602","1.8794","1.8829","1.8525","-1.04%"
"Dec 14, 2011","1.8798","1.8650","1.8848","1.8620","0.81%"
"Dec 13, 2011","1.8647","1.8439","1.8697","1.8335","1.13%"
"Dec 12, 2011","1.8439","1.7979","1.8480","1.7972","2.56%"
"Dec 09, 2011","1.7979","1.8250","1.8250","1.7965","-1.32%"
"Dec 08, 2011","1.8220","1.7985","1.8272","1.7815","1.27%"
"Dec 07, 2011","1.7992","1.7915","1.8038","1.7860","0.43%"
"Dec 06, 2011","1.7915","1.7857","1.7998","1.7760","0.32%"
"Dec 05, 2011","1.7857","1.7909","1.7943","1.7755","-0.31%"
"Dec 02, 2011","1.7912","1.7990","1.8026","1.7770","-0.49%"
"Dec 01, 2011","1.8000","1.8088","1.8105","1.7820","-0.46%"
"Nov 30, 2011","1.8083","1.8465","1.8480","1.7945","-1.99%"
"Nov 29, 2011","1.8450","1.8545","1.8545","1.8330","-0.50%"
"Nov 28, 2011","1.8542","1.8619","1.8714","1.8483","-2.00%"
"Nov 25, 2011","1.8920","1.8959","1.9145","1.8740","-0.32%"
"Nov 24, 2011","1.8981","1.8673","1.9043","1.8486","1.65%"
"Nov 23, 2011","1.8672","1.8184","1.8746","1.8174","2.68%"
"Nov 22, 2011","1.8184","1.8070","1.8298","1.7973","0.57%"
"Nov 21, 2011","1.8081","1.8042","1.8200","1.8003","1.24%"
"Nov 18, 2011","1.7860","1.7780","1.7908","1.7649","0.42%"
"Nov 17, 2011","1.7785","1.7697","1.7890","1.7641","0.50%"
"Nov 16, 2011","1.7697","1.7683","1.7860","1.7652","-0.14%"
"Nov 15, 2011","1.7721","1.7679","1.7725","1.7679","0.28%"
"Nov 14, 2011","1.7671","1.7459","1.7725","1.7446","1.42%"
"Nov 11, 2011","1.7424","1.7614","1.7650","1.7414","-1.08%"
"Nov 10, 2011","1.7614","1.7795","1.7835","1.7540","-1.02%"
"Nov 09, 2011","1.7795","1.7321","1.7835","1.7321","2.72%"
"Nov 08, 2011","1.7323","1.7462","1.7530","1.7320","-0.81%"
"Nov 07, 2011","1.7464","1.7528","1.7640","1.7425","-0.35%"
"Nov 04, 2011","1.7525","1.7348","1.7615","1.7257","0.91%"
"Nov 03, 2011","1.7367","1.7313","1.7460","1.7130","0.04%"
"Nov 02, 2011","1.7360","1.7172","1.7625","1.7170","-0.52%"
"Nov 01, 2011","1.7450","1.7173","1.7626","1.7171","1.62%"
"Oct 31, 2011","1.7172","1.6725","1.7190","1.6725","2.67%"
"Oct 28, 2011","1.6725","1.7095","1.7147","1.6711","-2.16%"
"Oct 27, 2011","1.7095","1.7584","1.7411","1.6998","-2.78%"
"Oct 26, 2011","1.7584","1.7660","1.7718","1.7445","-0.43%"
"Oct 25, 2011","1.7660","1.7508","1.7687","1.7353","0.87%"
"Oct 24, 2011","1.7508","1.7751","1.7851","1.7468","-1.35%"
"Oct 21, 2011","1.7748","1.7812","1.7920","1.7653","-0.36%"
"Oct 20, 2011","1.7812","1.7731","1.8090","1.7621","0.46%"
"Oct 19, 2011","1.7731","1.7524","1.7783","1.7419","1.18%"
"Oct 18, 2011","1.7524","1.7733","1.7867","1.7464","-1.20%"
"Oct 17, 2011","1.7736","1.7319","1.7755","1.7319","2.41%"
"Oct 14, 2011","1.7319","1.7509","1.7518","1.7255","-1.08%"
"Oct 13, 2011","1.7508","1.7550","1.7664","1.7380","-1.36%"
"Oct 12, 2011","1.7750","1.7750","1.7750","1.7750","0.00%"
"Oct 11, 2011","1.7750","1.7624","1.7835","1.7510","0.71%"
"Oct 10, 2011","1.7624","1.7755","1.7755","1.7363","-0.52%"
"Oct 07, 2011","1.7717","1.7788","1.7850","1.7518","-0.49%"
"Oct 06, 2011","1.7805","1.8317","1.8375","1.7765","-2.80%"
"Oct 05, 2011","1.8317","1.8553","1.8615","1.8233","-1.39%"
"Oct 04, 2011","1.8575","1.8914","1.9020","1.8560","-1.88%"
"Oct 03, 2011","1.8930","1.8777","1.9175","1.8705","0.75%"
"Sep 30, 2011","1.8790","1.8395","1.8930","1.8395","1.98%"
"Sep 29, 2011","1.8425","1.8373","1.8567","1.8220","0.29%"
"Sep 28, 2011","1.8372","1.8042","1.8444","1.7980","1.83%"
"Sep 27, 2011","1.8042","1.8220","1.8220","1.7915","-1.00%"
"Sep 26, 2011","1.8225","1.8335","1.8658","1.8100","-0.59%"
"Sep 23, 2011","1.8333","1.9049","1.9231","1.8231","-3.68%"
"Sep 22, 2011","1.9033","1.8729","1.9498","1.8380","1.04%"
"Sep 21, 2011","1.8838","1.7857","1.8916","1.7851","5.50%"
"Sep 20, 2011","1.7856","1.7997","1.8020","1.7671","-0.78%"
"Sep 19, 2011","1.7997","1.7328","1.7997","1.7317","3.87%"
"Sep 16, 2011","1.7327","1.7045","1.7382","1.7045","1.62%"
"Sep 15, 2011","1.7050","1.7140","1.7197","1.6975","-0.53%"
"Sep 14, 2011","1.7140","1.7099","1.7387","1.7075","0.23%"
"Sep 13, 2011","1.7100","1.7034","1.7205","1.7015","0.37%"
"Sep 12, 2011","1.7037","1.6747","1.7273","1.6747","1.84%"
"Sep 09, 2011","1.6729","1.6599","1.6852","1.6583","0.81%"
"Sep 08, 2011","1.6595","1.6543","1.6630","1.6502","0.33%"
"Sep 07, 2011","1.6540","1.6548","1.6550","1.6540","-0.08%"
"Sep 06, 2011","1.6553","1.6433","1.6670","1.6418","0.60%"
"Sep 05, 2011","1.6454","1.6573","1.6603","1.6442","0.24%"
"Sep 02, 2011","1.6415","1.6200","1.6475","1.6183","1.33%"
"Sep 01, 2011","1.6200","1.5892","1.6213","1.5886","1.94%"
"Aug 31, 2011","1.5892","1.5953","1.6025","1.5807","-0.44%"
"Aug 30, 2011","1.5963","1.5912","1.5988","1.5830","0.32%"
"Aug 29, 2011","1.5912","1.6042","1.6042","1.5896","-0.74%"
"Aug 26, 2011","1.6031","1.6101","1.6162","1.6002","-0.40%"
"Aug 25, 2011","1.6096","1.6144","1.6182","1.6025","-0.25%"
"Aug 24, 2011","1.6137","1.5968","1.6157","1.5968","1.06%"
"Aug 23, 2011","1.5968","1.6081","1.6081","1.5920","-0.65%"
"Aug 22, 2011","1.6073","1.5975","1.6081","1.5858","0.47%"
"Aug 19, 2011","1.5998","1.5996","1.6059","1.5892","0.06%"
"Aug 18, 2011","1.5989","1.5890","1.6124","1.5869","0.64%"
"Aug 17, 2011","1.5888","1.5902","1.5912","1.5773","-0.07%"
"Aug 16, 2011","1.5899","1.5903","1.6033","1.5843","0.11%"
"Aug 15, 2011","1.5882","1.6133","1.6138","1.5873","-1.42%"
"Aug 12, 2011","1.6110","1.6274","1.6281","1.6026","-1.00%"
"Aug 11, 2011","1.6272","1.6225","1.6420","1.6148","0.23%"
"Aug 10, 2011","1.6235","1.5896","1.6322","1.5896","2.15%"
"Aug 09, 2011","1.5894","1.6267","1.6587","1.5857","-2.28%"
"Aug 08, 2011","1.6265","1.5879","1.6270","1.5864","3.21%"
"Aug 05, 2011","1.5759","1.5873","1.6015","1.5755","-0.72%"
"Aug 04, 2011","1.5873","1.5621","1.5900","1.5607","1.61%"
